term,df,months,recent_df,recency,score,topic1,topic2,words,lang
sensitivity,7,3,7,1.0,5.189,safety_research,law,1,en
결과 본문,7,3,7,1.0,5.189,standards,physical_ai,2,ko
Remote,7,3,7,1.0,5.189,agentic_ai,national_security,1,en
disagreement,7,3,7,1.0,5.189,safety_research,agentic_ai,1,en
cross-modal,7,3,7,1.0,5.189,safety_research,guideline,1,en
Cache,7,3,7,1.0,5.189,frontier,safety_research,1,en
처리량,7,3,7,1.0,5.189,safety_research,agentic_ai,1,ko
않아 확인,7,3,7,1.0,5.189,frontier,cybersecurity,2,ko
trajectories,7,3,7,1.0,5.189,safety_research,agentic_ai,1,en
기사 제목,7,3,7,1.0,5.189,frontier,cybersecurity,2,ko
망분리,8,3,7,0.875,5.178,cybersecurity,guideline,1,ko
조회수,8,3,7,0.875,5.178,deepfake_disinfo,frontier,1,ko
K ctx GPQA,8,3,7,0.875,5.178,frontier,open_weight,3,en
맞추고 있지,8,3,7,0.875,5.178,cybersecurity,frontier,2,ko
여성들,8,3,7,0.875,5.178,deepfake_disinfo,youth,1,ko
인사이트,8,3,7,0.875,5.178,agentic_ai,healthcare,1,ko
범위 추가,12,2,12,1.0,5.072,safety_research,politics,2,ko
advance,7,5,3,0.429,5.003,frontier,norms,1,en
정보 처리,7,5,3,0.429,5.003,frontier,national_security,2,ko
개발 분야,7,5,3,0.429,5.003,frontier,safety_research,2,ko
극단적인,7,5,3,0.429,5.003,cybersecurity,frontier,1,ko
Opportunity,7,5,3,0.429,5.003,law,norms,1,en
Le Chat,7,5,3,0.429,5.003,agentic_ai,standards,2,en
기술력,8,4,4,0.5,4.951,cybersecurity,physical_ai,1,ko
평가 프레임,11,2,11,1.0,4.914,safety_research,frontier,2,ko
베이스라인 대비,11,2,11,1.0,4.914,safety_research,agentic_ai,2,ko
설정에서,11,2,11,1.0,4.914,safety_research,frontier,1,ko
한계 제시된,11,2,11,1.0,4.914,standards,safety_research,2,ko
일반화 추가,11,2,11,1.0,4.914,safety_research,guideline,2,ko
데이터 관련,6,5,3,0.5,4.881,law,deepfake_disinfo,2,ko
정부 주도,6,5,3,0.5,4.881,cybersecurity,guideline,2,ko
행정 업무,6,5,3,0.5,4.881,cybersecurity,frontier,2,ko
윤리교육,6,5,3,0.5,4.881,deepfake_disinfo,norms,1,ko
입지,6,5,3,0.5,4.881,norms,national_security,1,ko
상호작용형,6,5,3,0.5,4.881,frontier,cybersecurity,1,ko
중대 사고,6,5,3,0.5,4.881,law,cybersecurity,2,ko
Class Action,6,5,3,0.5,4.881,law,,2,en
growth,6,5,3,0.5,4.881,frontier,norms,1,en
머신,6,5,3,0.5,4.881,cybersecurity,norms,1,ko
유용할,6,5,3,0.5,4.881,safety_research,cybersecurity,1,ko
시스템 안전성,6,5,3,0.5,4.881,national_security,safety_research,2,ko
달간,6,5,3,0.5,4.881,law,cybersecurity,1,ko
가장 어려운,6,5,3,0.5,4.881,cybersecurity,healthcare,2,ko
내부 정책,6,5,3,0.5,4.881,frontier,law,2,ko
간의 차이,6,5,3,0.5,4.881,frontier,safety_research,2,ko
UK government,6,5,3,0.5,4.881,frontier,cybersecurity,2,en
편차,6,5,3,0.5,4.881,standards,youth,1,ko
과학기술정보통신부 한국인터넷진흥원,6,5,3,0.5,4.881,cybersecurity,guideline,2,ko
Safety Commitments,6,5,3,0.5,4.881,frontier,norms,2,en
선행,6,5,3,0.5,4.881,frontier,agentic_ai,1,ko
Opinion,6,5,3,0.5,4.881,law,guideline,1,en
NLP,7,4,4,0.571,4.877,guideline,standards,1,en
만남,7,4,4,0.571,4.877,frontier,norms,1,ko
바로,7,4,4,0.571,4.877,law,guideline,1,ko
정보화정책,7,4,4,0.571,4.877,national_security,,1,ko
되돌릴,7,4,4,0.571,4.877,safety_research,agentic_ai,1,ko
증폭,8,3,6,0.75,4.874,deepfake_disinfo,safety_research,1,ko
망분리 규제,7,3,6,0.857,4.859,cybersecurity,guideline,2,ko
좌표,7,3,6,0.857,4.859,safety_research,deepfake_disinfo,1,ko
지켜야,7,3,6,0.857,4.859,norms,guideline,1,ko
아마존,7,3,6,0.857,4.859,law,norms,1,ko
관련 모델,7,3,6,0.857,4.859,cybersecurity,frontier,2,ko
노동력,7,3,6,0.857,4.859,law,national_security,1,ko
시스템 데이터,7,3,6,0.857,4.859,cybersecurity,safety_research,2,ko
County,7,3,6,0.857,4.859,law,youth,1,en
rise,7,3,6,0.857,4.859,deepfake_disinfo,politics,1,en
참여 기업,7,3,6,0.857,4.859,frontier,guideline,2,ko
등을 통한,7,3,6,0.857,4.859,law,physical_ai,2,ko
희소한,7,3,6,0.857,4.859,safety_research,norms,1,ko
Mean,7,3,6,0.857,4.859,safety_research,frontier,1,en
Drug,7,3,6,0.857,4.859,frontier,healthcare,1,en
음향,7,3,6,0.857,4.859,safety_research,guideline,1,ko
하의,7,3,6,0.857,4.859,safety_research,cybersecurity,1,ko
CR,7,3,6,0.857,4.859,safety_research,standards,1,en
강화했,6,3,6,1.0,4.856,frontier,cybersecurity,1,ko
통제 벗어난,6,3,6,1.0,4.856,frontier,agentic_ai,2,ko
상호 운용성,6,3,6,1.0,4.856,national_security,norms,2,ko
사회공학,6,3,6,1.0,4.856,cybersecurity,frontier,1,ko
년이,6,3,6,1.0,4.856,physical_ai,safety_research,1,ko
Preparedness Framework,6,3,6,1.0,4.856,cybersecurity,frontier,2,en
정서,6,3,6,1.0,4.856,youth,safety_research,1,ko
투명성 규정,6,3,6,1.0,4.856,law,deepfake_disinfo,2,ko
코딩 과제,6,3,6,1.0,4.856,cybersecurity,open_weight,2,ko
자율 실행,6,3,6,1.0,4.856,agentic_ai,politics,2,ko
예측 정확도,6,3,6,1.0,4.856,norms,frontier,2,ko
Agentic AI Systems,6,3,6,1.0,4.856,agentic_ai,guideline,3,en
팩토리,6,3,6,1.0,4.856,physical_ai,law,1,ko
해킹 사건,6,3,6,1.0,4.856,cybersecurity,frontier,2,ko
사회보장,6,3,6,1.0,4.856,politics,national_security,1,ko
등에 활용되,6,3,6,1.0,4.856,safety_research,cybersecurity,2,ko
사전 지정된,6,3,6,1.0,4.856,cybersecurity,safety_research,2,ko
South Korea,6,3,6,1.0,4.856,physical_ai,law,2,en
CodeMender,6,3,6,1.0,4.856,cybersecurity,safety_research,1,en
내비게이션,6,3,6,1.0,4.856,physical_ai,guideline,1,ko
false positive rate,6,3,6,1.0,4.856,safety_research,politics,3,en
Suffix,6,3,6,1.0,4.856,safety_research,agentic_ai,1,en
후반,6,3,6,1.0,4.856,frontier,cybersecurity,1,ko
denoising,6,3,6,1.0,4.856,safety_research,cybersecurity,1,en
금융 시스템,6,3,6,1.0,4.856,law,safety_research,2,ko
Fire,6,3,6,1.0,4.856,law,national_security,1,en
발사,6,3,6,1.0,4.856,national_security,physical_ai,1,ko
평가기관,6,3,6,1.0,4.856,safety_research,cybersecurity,1,ko
달러 손해배상,6,3,6,1.0,4.856,law,frontier,2,ko
텔레메트리,6,3,6,1.0,4.856,safety_research,cybersecurity,1,ko
만이,6,3,6,1.0,4.856,safety_research,norms,1,ko
Skill,6,3,6,1.0,4.856,safety_research,guideline,1,en
extraction,6,3,6,1.0,4.856,law,guideline,1,en
표준인,6,3,6,1.0,4.856,standards,law,1,ko
비공식,6,3,6,1.0,4.856,agentic_ai,frontier,1,ko
모델 생성한,6,3,6,1.0,4.856,law,frontier,2,ko
hack,6,3,6,1.0,4.856,cybersecurity,frontier,1,en
대의,6,3,6,1.0,4.856,cybersecurity,frontier,1,ko
효율적이고,6,3,6,1.0,4.856,standards,safety_research,1,ko
경쟁적,6,3,6,1.0,4.856,healthcare,law,1,ko
국외,6,3,6,1.0,4.856,law,agentic_ai,1,ko
대체해,6,3,6,1.0,4.856,healthcare,national_security,1,ko
연구 도구,6,3,6,1.0,4.856,law,safety_research,2,ko
고의적,6,3,6,1.0,4.856,law,frontier,1,ko
상태 진행,6,3,6,1.0,4.856,law,frontier,2,ko
인증된,6,3,6,1.0,4.856,law,cybersecurity,1,ko
청소년용,6,3,6,1.0,4.856,youth,frontier,1,ko
심포지엄,6,3,6,1.0,4.856,deepfake_disinfo,frontier,1,ko
number,6,3,6,1.0,4.856,law,frontier,1,en
대체하고,6,3,6,1.0,4.856,guideline,national_security,1,ko
다루지 못하,6,3,6,1.0,4.856,law,cybersecurity,2,ko
Bridging,6,3,6,1.0,4.856,cybersecurity,guideline,1,en
Both,6,3,6,1.0,4.856,law,cybersecurity,1,en
Cultural,6,3,6,1.0,4.856,safety_research,norms,1,en
안전 중심,6,3,6,1.0,4.856,frontier,norms,2,ko
ASIC,6,3,6,1.0,4.856,politics,deepfake_disinfo,1,en
seeking,6,3,6,1.0,4.856,law,deepfake_disinfo,1,en
표적 식별,6,3,6,1.0,4.856,national_security,physical_ai,2,ko
곳에,6,3,6,1.0,4.856,cybersecurity,national_security,1,ko
지식재산처,6,3,6,1.0,4.856,law,,1,ko
단기적인,6,3,6,1.0,4.856,cybersecurity,national_security,1,ko
부과되,6,3,6,1.0,4.856,law,deepfake_disinfo,1,ko
공격 대상,6,3,6,1.0,4.856,cybersecurity,national_security,2,ko
directions,6,3,6,1.0,4.856,safety_research,standards,1,en
달러 법정손해배상,6,3,6,1.0,4.856,law,frontier,2,ko
LLM-based,6,3,6,1.0,4.856,agentic_ai,safety_research,1,en
기반 감사,6,3,6,1.0,4.856,safety_research,cybersecurity,2,ko
친밀한,6,3,6,1.0,4.856,healthcare,deepfake_disinfo,1,ko
조작한,6,3,6,1.0,4.856,deepfake_disinfo,law,1,ko
Vector,6,3,6,1.0,4.856,safety_research,frontier,1,en
자신감,6,3,6,1.0,4.856,safety_research,open_weight,1,ko
작물,6,3,6,1.0,4.856,law,norms,1,ko
algorithms,6,3,6,1.0,4.856,law,cybersecurity,1,en
통과해,6,3,6,1.0,4.856,law,cybersecurity,1,ko
CPU,6,3,6,1.0,4.856,safety_research,,1,en
효율 높일,6,3,6,1.0,4.856,standards,national_security,2,ko
ground truth,6,3,6,1.0,4.856,safety_research,frontier,2,en
전략적 자율성,6,3,6,1.0,4.856,law,norms,2,ko
실무형,6,3,6,1.0,4.856,cybersecurity,safety_research,1,ko
주장 제기되고,6,3,6,1.0,4.856,frontier,law,2,ko
price,6,3,6,1.0,4.856,frontier,standards,1,en
사건 계기,6,3,6,1.0,4.856,cybersecurity,frontier,2,ko
안전성 벤치마크,6,3,6,1.0,4.856,safety_research,youth,2,ko
기관 대상,6,3,6,1.0,4.856,cybersecurity,agentic_ai,2,ko
작용하고,6,3,6,1.0,4.856,frontier,national_security,1,ko
통치,6,3,6,1.0,4.856,national_security,incidents,1,ko
어린이,6,3,6,1.0,4.856,youth,law,1,ko
급증,6,3,6,1.0,4.856,law,open_weight,1,ko
불가능,6,3,6,1.0,4.856,open_weight,safety_research,1,ko
선호 데이터,6,3,6,1.0,4.856,safety_research,physical_ai,2,ko
Policy Optimization,6,3,6,1.0,4.856,safety_research,physical_ai,2,en
Meets,6,3,6,1.0,4.856,politics,deepfake_disinfo,1,en
탐지율,6,3,6,1.0,4.856,agentic_ai,healthcare,1,ko
Recommendation,6,3,6,1.0,4.856,guideline,healthcare,1,en
후원,6,3,6,1.0,4.856,frontier,incidents,1,ko
every,6,3,6,1.0,4.856,frontier,cybersecurity,1,en
수정하고,6,3,6,1.0,4.856,frontier,cybersecurity,1,ko
빅테크 기업들,6,3,6,1.0,4.856,frontier,law,2,ko
비판 받고,6,3,6,1.0,4.856,guideline,frontier,2,ko
기업 모두,6,3,6,1.0,4.856,law,frontier,2,ko
Export Controls,6,3,6,1.0,4.856,frontier,law,2,en
공격 방어,6,3,6,1.0,4.856,cybersecurity,frontier,2,ko
Direct Preference Optimization,6,3,6,1.0,4.856,safety_research,guideline,3,en
망각,6,3,6,1.0,4.856,incidents,healthcare,1,ko
고충실,6,3,6,1.0,4.856,agentic_ai,safety_research,1,ko
캡처,6,3,6,1.0,4.856,cybersecurity,frontier,1,ko
보안 대응,6,3,6,1.0,4.856,cybersecurity,frontier,2,ko
보안 검토,6,3,6,1.0,4.856,frontier,cybersecurity,2,ko
마련 필요성,6,3,6,1.0,4.856,safety_research,cybersecurity,2,ko
응급,6,3,6,1.0,4.856,healthcare,guideline,1,ko
가짜 계정,6,3,6,1.0,4.856,frontier,cybersecurity,2,ko
제한 조치,6,3,6,1.0,4.856,frontier,safety_research,2,ko
Gold,6,3,6,1.0,4.856,frontier,cybersecurity,1,en
임계,6,3,6,1.0,4.856,frontier,guideline,1,ko
Application,6,3,6,1.0,4.856,sovereign_ai,frontier,1,en
파편화,6,3,6,1.0,4.856,law,norms,1,ko
준수하도록,6,3,6,1.0,4.856,guideline,deepfake_disinfo,1,ko
문제 해결하고,6,3,6,1.0,4.856,frontier,cybersecurity,2,ko
forward,6,3,6,1.0,4.856,safety_research,frontier,1,en
Activations,6,3,6,1.0,4.856,frontier,safety_research,1,en
발생하 문제,6,3,6,1.0,4.856,safety_research,national_security,2,ko
제약 하에서,6,3,6,1.0,4.856,safety_research,healthcare,2,ko
공급망 공격,6,3,6,1.0,4.856,cybersecurity,physical_ai,2,ko
토대,6,3,6,1.0,4.856,standards,agentic_ai,1,ko
특정 도메인,6,3,6,1.0,4.856,safety_research,norms,2,ko
내부 모델,6,3,6,1.0,4.856,frontier,law,2,ko
보며,6,3,6,1.0,4.856,frontier,law,1,ko
규제 정책,6,3,6,1.0,4.856,standards,law,2,ko
Chips Act,6,3,6,1.0,4.856,norms,law,2,en
무해,6,3,6,1.0,4.856,safety_research,frontier,1,ko
President,6,3,6,1.0,4.856,norms,cybersecurity,1,en
수정해,6,3,6,1.0,4.856,cybersecurity,safety_research,1,ko
Digital Markets Act,6,3,6,1.0,4.856,law,norms,3,en
국가 단위,6,3,6,1.0,4.856,norms,frontier,2,ko
literature,6,3,6,1.0,4.856,guideline,law,1,en
데이터에서,6,3,6,1.0,4.856,safety_research,law,1,ko
belief,6,3,6,1.0,4.856,cybersecurity,frontier,1,en
유디오,6,3,6,1.0,4.856,law,,1,ko
anchor,6,3,6,1.0,4.856,safety_research,cybersecurity,1,en
magnitude,6,3,6,1.0,4.856,safety_research,agentic_ai,1,en
optionality,6,3,6,1.0,4.856,national_security,,1,en
회귀,6,3,6,1.0,4.856,safety_research,healthcare,1,ko
포함되어 있지,6,3,6,1.0,4.856,agentic_ai,guideline,2,ko
movement,6,3,6,1.0,4.856,cybersecurity,frontier,1,en
평결,6,3,6,1.0,4.856,law,frontier,1,ko
문헌 기반,6,3,6,1.0,4.856,agentic_ai,frontier,2,ko
bound,6,3,6,1.0,4.856,agentic_ai,open_weight,1,en
KV Cache,6,3,6,1.0,4.856,frontier,safety_research,2,en
재정의하고,6,3,6,1.0,4.856,safety_research,norms,1,ko
레지스터,6,3,6,1.0,4.856,law,safety_research,1,ko
환경에서 성능,6,3,6,1.0,4.856,safety_research,healthcare,2,ko
formation,6,3,6,1.0,4.856,safety_research,frontier,1,en
시그니처,6,3,6,1.0,4.856,guideline,national_security,1,ko
Contrastive,6,3,6,1.0,4.856,safety_research,cybersecurity,1,en
추론 시점,6,3,6,1.0,4.856,frontier,politics,2,ko
서술,6,3,6,1.0,4.856,safety_research,national_security,1,ko
controllability,6,3,6,1.0,4.856,safety_research,law,1,en
activation steering,6,3,6,1.0,4.856,safety_research,norms,2,en
SWG,6,3,6,1.0,4.856,standards,healthcare,1,en
한계 지적하고,6,3,6,1.0,4.856,safety_research,cybersecurity,2,ko
고정밀,6,3,6,1.0,4.856,safety_research,healthcare,1,ko
상상,6,3,6,1.0,4.856,safety_research,agentic_ai,1,ko
총격,6,3,6,1.0,4.856,law,frontier,1,ko
신뢰성 향상,6,3,6,1.0,4.856,safety_research,agentic_ai,2,ko
고소득 국가,6,3,6,1.0,4.856,law,frontier,2,ko
가설 관련,8,8,0,0.0,4.828,safety_research,agentic_ai,2,ko
문제 진전,8,8,0,0.0,4.828,safety_research,agentic_ai,2,ko
유럽연합 인공지능법,7,7,1,0.143,4.818,law,guideline,2,ko
가설 만족하,7,7,1,0.143,4.818,safety_research,agentic_ai,2,ko
만족하 비율,7,7,1,0.143,4.818,safety_research,agentic_ai,2,ko
비율 하한,7,7,1,0.143,4.818,safety_research,agentic_ai,2,ko
circuits,7,7,1,0.143,4.818,safety_research,agentic_ai,1,en
사용 금지하고,6,4,4,0.667,4.802,national_security,physical_ai,2,ko
총괄,6,4,4,0.667,4.802,frontier,national_security,1,ko
참여 기관,6,4,4,0.667,4.802,cybersecurity,incidents,2,ko
빅테크 기업,6,4,4,0.667,4.802,sovereign_ai,frontier,2,ko
거버넌스 글로벌,6,4,4,0.667,4.802,norms,law,2,ko
범위 설정,6,4,4,0.667,4.802,cybersecurity,safety_research,2,ko
쌍을,6,4,4,0.667,4.802,safety_research,frontier,1,ko
산업 동향,6,4,4,0.667,4.802,agentic_ai,physical_ai,2,ko
영향 받는,6,4,4,0.667,4.802,law,national_security,2,ko
Reserve,6,4,4,0.667,4.802,cybersecurity,deepfake_disinfo,1,en
studies,6,4,4,0.667,4.802,safety_research,law,1,en
강제력,6,4,4,0.667,4.802,norms,guideline,1,ko
faces,6,4,4,0.667,4.802,law,youth,1,en
Approaches,6,4,4,0.667,4.802,national_security,agentic_ai,1,en
선례,6,4,4,0.667,4.802,frontier,national_security,1,ko
시장 진입,6,4,4,0.667,4.802,norms,law,2,ko
Governor,6,4,4,0.667,4.802,frontier,law,1,en
등에 활용될,6,4,4,0.667,4.802,national_security,law,2,ko
사망,6,4,4,0.667,4.802,law,incidents,1,ko
디자이너,6,4,4,0.667,4.802,frontier,,1,ko
Form,6,4,4,0.667,4.802,guideline,frontier,1,en
대화 로그,6,4,4,0.667,4.802,frontier,law,2,ko
시스템 관련,6,4,4,0.667,4.802,law,guideline,2,ko
집중되어 있으,6,4,4,0.667,4.802,frontier,law,2,ko
리스크 평가,6,4,4,0.667,4.802,healthcare,youth,2,ko
HTTP,6,4,4,0.667,4.802,safety_research,law,1,en
애니메이션,6,4,4,0.667,4.802,safety_research,cybersecurity,1,ko
작업그룹,6,4,4,0.667,4.802,guideline,deepfake_disinfo,1,ko
칩에,6,4,4,0.667,4.802,frontier,law,1,ko
포함하도록,6,4,4,0.667,4.802,guideline,safety_research,1,ko
bug,6,4,4,0.667,4.802,cybersecurity,agentic_ai,1,en
Edge,6,4,4,0.667,4.802,physical_ai,norms,1,en
DC,6,4,4,0.667,4.802,frontier,national_security,1,en
안전 테스트,6,4,4,0.667,4.802,cybersecurity,frontier,2,ko
전문 패널,6,4,4,0.667,4.802,safety_research,guideline,2,ko
학습 단계,6,4,4,0.667,4.802,safety_research,frontier,2,ko
요청하고,6,4,4,0.667,4.802,frontier,law,1,ko
풍부한,6,4,4,0.667,4.802,standards,guideline,1,ko
자동 평가,6,4,4,0.667,4.802,safety_research,frontier,2,ko
공정위,6,6,2,0.333,4.796,guideline,law,1,ko
평가 기간,6,6,2,0.333,4.796,frontier,agentic_ai,2,ko
학위,6,6,2,0.333,4.796,law,national_security,1,ko
Chai,6,6,2,0.333,4.796,safety_research,law,1,en
군비,6,6,2,0.333,4.796,national_security,norms,1,ko
데이터셋 구축,6,6,2,0.333,4.796,norms,cybersecurity,2,ko
과정 데이터,6,6,2,0.333,4.796,deepfake_disinfo,standards,2,ko
공격 시나리오,5,5,3,0.6,4.751,cybersecurity,safety_research,2,ko
위험 발생할,5,5,3,0.6,4.751,frontier,guideline,2,ko
에이전트 외부,5,5,3,0.6,4.751,agentic_ai,cybersecurity,2,ko
Principle,5,5,3,0.6,4.751,guideline,healthcare,1,en
만들거나,5,5,3,0.6,4.751,cybersecurity,law,1,ko
논증,5,5,3,0.6,4.751,healthcare,safety_research,1,ko
기관과,5,5,3,0.6,4.751,frontier,agentic_ai,1,ko
금융 규제,5,5,3,0.6,4.751,guideline,law,2,ko
시험하고,5,5,3,0.6,4.751,frontier,guideline,1,ko
완화해,5,5,3,0.6,4.751,cybersecurity,frontier,1,ko
분석 대상,5,5,3,0.6,4.751,norms,national_security,2,ko
기술 산업,5,5,3,0.6,4.751,standards,national_security,2,ko
Employment,5,5,3,0.6,4.751,law,,1,en
기술개발,5,5,3,0.6,4.751,national_security,standards,1,ko
레이더,5,5,3,0.6,4.751,national_security,norms,1,ko
분야 규제,5,5,3,0.6,4.751,law,guideline,2,ko
상호작용 중임,5,5,3,0.6,4.751,law,deepfake_disinfo,2,ko
Global AI Governance,5,5,3,0.6,4.751,norms,law,3,en
많지,5,5,3,0.6,4.751,youth,open_weight,1,ko
조사하,5,5,3,0.6,4.751,youth,agentic_ai,1,ko
내부 문서,5,5,3,0.6,4.751,youth,frontier,2,ko
비교 대상,5,5,3,0.6,4.751,frontier,law,2,ko
different,5,5,3,0.6,4.751,frontier,youth,1,en
중소기업 지원,5,5,3,0.6,4.751,law,standards,2,ko
관련 분야,5,5,3,0.6,4.751,agentic_ai,open_weight,2,ko
보호 등을,5,5,3,0.6,4.751,norms,law,2,ko
않아야,5,5,3,0.6,4.751,norms,law,1,ko
전략적 협력,5,5,3,0.6,4.751,cybersecurity,frontier,2,ko
편향 측정,5,5,3,0.6,4.751,deepfake_disinfo,guideline,2,ko
recent,5,5,3,0.6,4.751,cybersecurity,agentic_ai,1,en
지시하고,5,5,3,0.6,4.751,law,norms,1,ko
hours,5,5,3,0.6,4.751,agentic_ai,,1,en
정치적 견해,5,5,3,0.6,4.751,law,guideline,2,ko
규제 논의,5,5,3,0.6,4.751,safety_research,norms,2,ko
안보 분야,5,5,3,0.6,4.751,national_security,law,2,ko
활용 능력,5,5,3,0.6,4.751,safety_research,law,2,ko
유래한,5,5,3,0.6,4.751,frontier,open_weight,1,ko
호환성,5,5,3,0.6,4.751,agentic_ai,cybersecurity,1,ko
피드백 기반,5,5,3,0.6,4.751,safety_research,cybersecurity,2,ko
되기,5,5,3,0.6,4.751,frontier,healthcare,1,ko
원칙 중심,5,5,3,0.6,4.751,norms,law,2,ko
개발사들,5,5,3,0.6,4.751,safety_research,frontier,1,ko
출범했,5,5,3,0.6,4.751,cybersecurity,national_security,1,ko
발생 가능성,5,5,3,0.6,4.751,national_security,youth,2,ko
동향 분석한,5,5,3,0.6,4.751,norms,frontier,2,ko
미래 모델,5,5,3,0.6,4.751,safety_research,cybersecurity,2,ko
엄격하게,5,5,3,0.6,4.751,cybersecurity,frontier,1,ko
드물게,5,5,3,0.6,4.751,norms,open_weight,1,ko
전기차,5,5,3,0.6,4.751,cybersecurity,deepfake_disinfo,1,ko
지원 마감일,5,5,3,0.6,4.751,law,deepfake_disinfo,2,ko
규제 방향,5,5,3,0.6,4.751,agentic_ai,,2,ko
template,5,5,3,0.6,4.751,guideline,law,1,en
개발 필요성,5,5,3,0.6,4.751,cybersecurity,norms,2,ko
투명,5,5,3,0.6,4.751,law,safety_research,1,ko
요청했으나,5,5,3,0.6,4.751,cybersecurity,agentic_ai,1,ko
Protecting,5,5,3,0.6,4.751,youth,law,1,en
통제되지,5,5,3,0.6,4.751,frontier,law,1,ko
차이점,5,5,3,0.6,4.751,safety_research,law,1,ko
다단계 공격,5,5,3,0.6,4.751,cybersecurity,law,2,ko
도구 모델,5,5,3,0.6,4.751,frontier,safety_research,2,ko
세계 모델,5,5,3,0.6,4.751,physical_ai,norms,2,ko
크게 줄일,5,5,3,0.6,4.751,agentic_ai,safety_research,2,ko
무기 개발,5,5,3,0.6,4.751,norms,national_security,2,ko
모니터링하,5,5,3,0.6,4.751,guideline,healthcare,1,ko
작업 진행,5,5,3,0.6,4.751,frontier,agentic_ai,2,ko
실무 지침,5,5,3,0.6,4.751,guideline,standards,2,ko
주어진,5,5,3,0.6,4.751,cybersecurity,agentic_ai,1,ko
발현,5,5,3,0.6,4.751,law,agentic_ai,1,ko
요약본,5,5,3,0.6,4.751,frontier,law,1,ko
end,5,5,3,0.6,4.751,cybersecurity,open_weight,1,en
인재 유치,5,5,3,0.6,4.751,sovereign_ai,law,2,ko
디렉터,5,5,3,0.6,4.751,national_security,sovereign_ai,1,ko
보호 정책,5,5,3,0.6,4.751,frontier,deepfake_disinfo,2,ko
기법 개발,5,5,3,0.6,4.751,safety_research,youth,2,ko
채택된,5,5,3,0.6,4.751,cybersecurity,norms,1,ko
과학적 발견,5,5,3,0.6,4.751,norms,guideline,2,ko
추진 방향,5,5,3,0.6,4.751,law,norms,2,ko
제시한 보고서,5,5,3,0.6,4.751,law,deepfake_disinfo,2,ko
예방하,5,5,3,0.6,4.751,safety_research,deepfake_disinfo,1,ko
기구 설립,5,5,3,0.6,4.751,law,norms,2,ko
연평균,5,5,3,0.6,4.751,frontier,cybersecurity,1,ko
국제표준화,5,5,3,0.6,4.751,standards,norms,1,ko
자문기구,5,5,3,0.6,4.751,law,norms,1,ko
universal jailbreak,5,5,3,0.6,4.751,safety_research,national_security,2,en
문헌 검토,5,5,3,0.6,4.751,law,sovereign_ai,2,ko
기술 자체,5,5,3,0.6,4.751,deepfake_disinfo,agentic_ai,2,ko
Sam Altman,5,5,3,0.6,4.751,frontier,politics,2,en
valuation,5,5,3,0.6,4.751,safety_research,frontier,1,en
V3,5,5,3,0.6,4.751,frontier,open_weight,1,en
비슷한 수준,5,5,3,0.6,4.751,agentic_ai,open_weight,2,ko
정보요청,5,5,3,0.6,4.751,frontier,law,1,ko
위험기반,5,5,3,0.6,4.751,law,sovereign_ai,1,ko
Bedrock,5,5,3,0.6,4.751,frontier,national_security,1,en
추정할,5,5,3,0.6,4.751,safety_research,physical_ai,1,ko
심의위원회,5,5,3,0.6,4.751,law,healthcare,1,ko
변경 사항,5,5,3,0.6,4.751,national_security,guideline,2,ko
크며,5,5,3,0.6,4.751,politics,youth,1,ko
작업 완료,5,5,3,0.6,4.751,agentic_ai,standards,2,ko
디버깅,5,5,3,0.6,4.751,agentic_ai,frontier,1,ko
판정 범주,10,2,10,1.0,4.742,frontier,safety_research,2,ko
SW,10,2,10,1.0,4.742,cybersecurity,physical_ai,1,en
인당,5,4,4,0.8,4.729,,,1,ko
지휘,5,4,4,0.8,4.729,national_security,cybersecurity,1,ko
소비자보호,5,4,4,0.8,4.729,law,agentic_ai,1,ko
부통령,5,4,4,0.8,4.729,politics,deepfake_disinfo,1,ko
개월 만에,5,4,4,0.8,4.729,sovereign_ai,physical_ai,2,ko
연구용,5,4,4,0.8,4.729,cybersecurity,frontier,1,ko
감독 역량,5,4,4,0.8,4.729,healthcare,national_security,2,ko
information security,5,4,4,0.8,4.729,national_security,norms,2,en
폭발물,5,4,4,0.8,4.729,frontier,norms,1,ko
답하,5,4,4,0.8,4.729,national_security,cybersecurity,1,ko
보안 개선,5,4,4,0.8,4.729,cybersecurity,agentic_ai,2,ko
개선 효과,5,4,4,0.8,4.729,safety_research,standards,2,ko
Part,5,4,4,0.8,4.729,safety_research,frontier,1,en
조작 콘텐츠,5,4,4,0.8,4.729,deepfake_disinfo,law,2,ko
FCA,5,4,4,0.8,4.729,guideline,cybersecurity,1,en
보급,5,4,4,0.8,4.729,national_security,physical_ai,1,ko
일하,5,4,4,0.8,4.729,cybersecurity,agentic_ai,1,ko
국가 주권,5,4,4,0.8,4.729,norms,law,2,ko
형성할,5,4,4,0.8,4.729,norms,safety_research,1,ko
비롯된,5,4,4,0.8,4.729,open_weight,cybersecurity,1,ko
인간 승인,5,4,4,0.8,4.729,agentic_ai,incidents,2,ko
추가 의무,5,4,4,0.8,4.729,youth,law,2,ko
서비스 직접,5,4,4,0.8,4.729,agentic_ai,guideline,2,ko
기술위원회,5,4,4,0.8,4.729,standards,guideline,1,ko
부상하,5,4,4,0.8,4.729,national_security,frontier,1,ko
chains,5,4,4,0.8,4.729,cybersecurity,safety_research,1,en
인증정보,5,4,4,0.8,4.729,cybersecurity,agentic_ai,1,ko
